timestamp,company,role,location,stage,priority,url,notes,source_value
2026-04-09 02:15:52,Unknown company,Software Tester,Auckland,Ready to Apply,High,https://app.zeil.com/app/candidate/search,,1
2026-04-09 02:15:31,Unknown company,Software Tester,Auckland,Ready to Apply,High,https://app.zeil.com/app/candidate/search,,3
